freq_hz,s21_db_median,s21_db_hdi_low,s21_db_hdi_high,gd_ns_median,gd_ns_hdi_low,gd_ns_hdi_high
1113799869.1955526,-38.537222222158064,-44.67182088839428,-32.96659366026764,1.0973984651611657,-9.094811747301375,10.631191778118197
1115761935.9058208,-38.846570687801986,-47.80112102263515,-33.9479193162638,0.9694765087440896,-7.8380519287587225,11.625316544382994
1117724002.6160889,-38.445762037916325,-44.79754133595766,-33.425382478955314,1.0050686657390948,-8.638774029073796,10.912586305662355
1119686069.3263571,-38.61227955717909,-45.949923983394044,-33.83325939668149,1.3088840483211008,-8.101878582019667,12.970107367331877
1121648136.0366251,-38.600988240948716,-44.977394012007885,-33.128954136834714,1.2837013255730634,-9.153550698627512,11.495657347946317
1123610202.7468934,-38.232686884096616,-44.03406605297816,-33.29542525569853,1.7017443407962374,-10.58687521288505,10.072350872964103
1125572269.4571614,-38.60177476563142,-45.89462934290673,-34.01972027423049,1.195479941060608,-8.979345853841279,11.065942421995896
1127534336.1674297,-38.17643608046224,-45.496637870244285,-33.26689939143575,1.5291601432039847,-6.961722716655284,13.020776681425797
1129496402.877698,-38.14302345515108,-45.17468489157587,-33.32271127460939,1.2607827366762363,-9.154457162635309,9.711913174188014
1131458469.587966,-37.76618347747636,-45.09050299580572,-33.25200839615135,1.1103552923476272,-8.76151233537017,9.45016486363055
1133420536.2982342,-37.44715912331766,-43.69290850993754,-33.18038331925696,1.1287050691952807,-7.6612355233596805,10.629325736848182
1135382603.0085022,-37.71273524017228,-43.73248386208748,-32.894099205149615,0.8636174889126913,-8.573056054905791,9.598719063156055
1137344669.7187705,-37.27215140095383,-43.095727645128186,-32.945447327728814,1.068591034479539,-7.737412756284017,9.716943797441504
1139306736.4290385,-37.746280242950235,-44.56061763249171,-33.682363906484476,1.1385402962120645,-8.360714986021373,10.138253765127704
1141268803.1393068,-38.01727532922611,-43.48861927279354,-32.52279894510691,0.879493589810262,-8.265279732492433,9.43402779908444
1143230869.8495748,-37.41057245014737,-43.1441252131992,-32.813075399745145,1.1401952252174188,-6.967397530437149,11.137105371866715
1145192936.559843,-37.34217084906474,-41.90778539000604,-32.772417770610375,1.4060035461685887,-7.203227805269576,9.834537034331989
1147155003.270111,-37.36418720786526,-42.54300599763914,-33.09902829866574,1.6751074542499391,-7.032226353946141,10.255516528474704
1149117069.9803793,-37.226001374547224,-43.82673963877104,-33.02783962781704,1.4219303496755393,-7.9400694878693345,9.993708209504316
1151079136.6906476,-37.477978058093214,-43.26586791526023,-33.29414441510434,1.4786970835494844,-7.415158088806303,10.570109091278265
1153041203.4009156,-37.78310936020311,-42.53477084544775,-32.82370836998876,1.360486770871981,-8.72518821316091,8.893957493183672
1155003270.111184,-37.8073407595497,-44.533125547449,-32.69802992536231,0.9839916529809085,-7.784010401873391,9.732388401904393
1156965336.821452,-37.7976805464577,-43.78242774405506,-32.85608963514512,1.100462225577357,-7.232997550427044,10.745450757312096
1158927403.5317202,-37.73807795325324,-43.36318090058391,-33.10635794647828,1.4470720661760412,-6.935074525693552,10.495303995484418
1160889470.2419882,-38.05394562926254,-44.45568010699631,-33.63929723611941,0.5358921615564709,-8.62812208121504,9.072393435402219
1162851536.9522564,-37.73282019880768,-44.551204151014616,-33.607032022094785,0.8353643792649033,-9.162550197445778,8.858919760178484
1164813603.6625245,-38.285119253120335,-44.44492053014826,-33.04497697997682,1.2717839608620516,-7.298611480668515,10.37828583542817
1166775670.3727927,-37.26834258738515,-43.33435084625533,-33.27931181801099,1.3605437897499322,-6.95768574127964,9.472744623003516
1168737737.0830607,-37.093878941605,-42.77520488733762,-33.36479302067132,1.3400848436497816,-6.109370608998402,9.578428417864787
1170699803.793329,-36.99668451826141,-42.67135227915774,-32.55500880917787,1.4903060587524743,-6.606464748336827,10.332650526793511
1172661870.5035973,-36.79095238773928,-42.803911333409744,-33.339992436022065,1.0230117031154151,-7.6692997895519115,9.620902945667922
1174623937.2138653,-37.061107885497705,-42.05895238073127,-32.686607253202816,1.5604889271373987,-7.580535802754949,8.7645287047179
1176586003.9241333,-36.873161122681054,-42.924279830050516,-32.64115719582413,1.374581166343827,-7.915000806288634,8.70022484182082
1178548070.6344016,-37.06367293947159,-42.46808998550284,-32.921247457897415,1.241488139530586,-6.487140128209086,9.685497286110213
1180510137.3446698,-37.09562350027464,-41.51410347437066,-32.629406758005935,1.1509174392600983,-7.384583888344842,10.003565719075928
1182472204.0549378,-37.16381906968371,-42.14744431187714,-31.983269676968604,1.0957472863831412,-7.679154524811344,10.288342859416163
1184434270.765206,-37.03720145277093,-43.17043053238837,-32.92124476675973,1.461782306467129,-7.148999817959329,10.20499649929982
